RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,1,Patrick Cantlay,16,1.94,101,52
2,2,Matt Kuchar,17,1.95,121,62
3,3,Rory McIlroy,14,1.98,99,50
4,4,Dustin Johnson,13,2.02,97,48
5,5,Lucas Glover,19,2.10,130,62
6,6,Brooks Koepka,15,2.14,107,50
7,7,Jim Furyk,17,2.15,112,52
8,8,Russell Knox,19,2.16,134,62
9,9,Webb Simpson,15,2.17,117,54
10,10,Bud Cauley,20,2.19,138,63
11,11,Charles Howell III,20,2.20,143,65
12,12,Xander Schauffele,16,2.21,124,56
13,13,Kevin Tway,20,2.23,138,62
T14,T15,Aaron Baddeley,17,2.27,125,55
T14,T15,Ryan Palmer,16,2.27,118,52
T14,T15,Vaughn Taylor,22,2.27,161,71
17,18,Rickie Fowler,15,2.28,132,58
T18,T19,Marc Leishman,16,2.29,128,56
T18,T19,Justin Thomas,15,2.29,119,52
20,21,Scott Piercy,20,2.30,161,70
21,22,Justin Rose,12,2.31,97,42
22,23,Tommy Fleetwood,13,2.32,102,44
T23,T24,Corey Conners,20,2.33,135,58
T23,T24,Si Woo Kim,22,2.33,149,64
T23,T24,Cameron Tringale,16,2.33,119,51
T23,T24,Nick Watney,21,2.33,156,67
27,28,Harold Varner III,21,2.34,150,64
T28,T29,Ernie Els,15,2.35,101,43
T28,T29,Matt Jones,21,2.35,160,68
T28,T29,Chez Reavie,21,2.35,160,68
T28,T29,Kevin Streelman,21,2.35,153,65
T32,T33,Sungjae Im,27,2.36,208,88
T32,T33,Henrik Stenson,13,2.36,99,42
T32,T33,Gary Woodland,18,2.36,151,64
35,36,Nate Lashley,14,2.37,109,46
T36,T37,Hideki Matsuyama,16,2.38,143,60
T36,T37,Denny McCarthy,21,2.38,145,61
T36,T37,Graeme McDowell,17,2.38,145,61
T36,T37,Jon Rahm,15,2.38,114,48
40,42,Adam Schenk,25,2.39,191,80
T41,T43,Jhonattan Vegas,19,2.40,144,60
T41,T43,Tiger Woods,9,2.40,72,30
T43,T45,Jason Kokrak,18,2.41,159,66
T43,T45,Troy Merritt,13,2.41,99,41
T43,T45,Rory Sabbatini,20,2.41,171,71
T43,T45,Michael Thompson,17,2.41,135,56
47,49,Jason Day,16,2.42,116,48
T48,T50,Talor Gooch,12,2.43,90,37
T48,T50,Trey Mullinax,21,2.43,158,65
T48,T50,C.T. Pan,21,2.43,165,68
51,53,Keegan Bradley,20,2.44,156,64
T52,T54,Paul Casey,17,2.45,135,55
T52,T54,Harris English,23,2.45,189,77
T52,T54,Tony Finau,19,2.45,147,60
T52,T54,Martin Laird,19,2.45,147,60
T52,T54,Francesco Molinari,12,2.45,103,42
T52,T54,Andrew Putnam,19,2.45,147,60
T52,T54,Sam Ryder,17,2.45,137,56
