RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,1,Patrick Cantlay,57,2.10,235,112
2,2,Matt Kuchar,69,2.01,269,134
3,3,Rory McIlroy,54,1.97,231,117
4,4,Dustin Johnson,51,1.92,205,107
5,5,Justin Thomas,55,1.84,250,136
6,6,Brooks Koepka,57,1.79,225,126
T7,T7,Xander Schauffele,59,1.78,248,139
T7,T7,Gary Woodland,67,1.78,305,171
T9,T9,Jon Rahm,55,1.72,213,124
T9,T9,Webb Simpson,57,1.72,215,125
11,11,Tiger Woods,35,1.69,137,81
T12,T12,Jason Day,53,1.68,213,127
T12,T12,Lucas Glover,66,1.68,235,140
14,14,Scott Piercy,74,1.67,288,172
15,15,Charles Howell III,68,1.66,259,156
T16,T16,Rickie Fowler,58,1.65,248,150
T16,T16,Hideki Matsuyama,63,1.65,260,158
T16,T16,Ryan Palmer,56,1.65,226,137
T16,T16,Justin Rose,46,1.65,180,109
20,20,Marc Leishman,60,1.64,234,143
21,21,Si Woo Kim,69,1.63,281,172
22,22,Adam Scott,45,1.61,191,119
T23,T23,Sungjae Im,92,1.59,373,234
T23,T23,Troy Merritt,45,1.59,173,109
T25,T25,Jim Furyk,57,1.57,188,120
T25,T25,Chez Reavie,75,1.57,274,175
T27,T27,Bud Cauley,63,1.56,253,162
T27,T27,Bryson DeChambeau,53,1.56,226,145
T29,T29,Talor Gooch,37,1.54,156,101
T29,T29,Denny McCarthy,65,1.54,241,157
T31,T31,Aaron Baddeley,55,1.53,212,139
T31,T31,Paul Casey,59,1.53,225,147
T33,T33,Sam Ryder,56,1.52,231,152
T33,T33,Vaughn Taylor,73,1.52,286,188
35,35,Rory Sabbatini,75,1.51,287,190
36,36,Nate Lashley,48,1.50,173,115
37,37,Andrew Putnam,65,1.49,257,173
T38,T38,Abraham Ancer,77,1.48,293,198
T38,T38,Wyndham Clark,65,1.48,271,183
T38,T38,Cameron Tringale,55,1.48,197,133
T38,T38,Nick Watney,71,1.48,270,183
T42,T43,Russell Knox,69,1.47,231,157
T42,T43,Jason Kokrak,70,1.47,270,184
T44,T45,Dominic Bozzelli,55,1.46,220,151
T44,T45,Matt Jones,72,1.46,262,180
T44,T45,Kevin Tway,66,1.46,225,154
T47,T48,Tony Finau,65,1.45,237,163
T47,T48,Michael Thompson,56,1.45,219,151
T47,T48,Aaron Wise,56,1.45,233,161
50,51,Jhonattan Vegas,62,1.44,240,167
51,52,Jordan Spieth,63,1.43,253,177
T52,T53,Ian Poulter,51,1.42,180,127
T52,T53,Adam Schenk,82,1.42,309,217
T52,T53,Kevin Streelman,67,1.42,243,171
T52,T53,Harold Varner III,66,1.42,241,170
T56,T57,Tommy Fleetwood,51,1.41,159,113
T56,T57,Graeme McDowell,65,1.41,228,162
T56,T57,Johnson Wagner,45,1.41,166,118
T59,T60,Matt Every,38,1.40,150,107
T59,T60,Ryan Moore,58,1.40,233,167
T59,T60,J.J. Spaun,72,1.40,260,186
T62,T63,Corey Conners,62,1.39,218,157
T62,T63,Sung Kang,70,1.39,266,191
T62,T63,Martin Laird,64,1.39,226,163
T65,T66,Keegan Bradley,71,1.38,244,177
T65,T66,Jonathan Byrd,43,1.38,156,113
T67,T68,Kevin Kisner,73,1.37,230,168
T67,T68,Peter Malnati,68,1.37,241,176
T67,T68,SebastiÃ¡n MuÃ±oz,60,1.37,232,169
T70,T71,Cameron Davis,58,1.36,217,159
T70,T71,Keith Mitchell,66,1.36,264,194
T70,T71,Louis Oosthuizen,51,1.36,170,125
T73,T74,Jonas Blixt,68,1.35,252,187
T73,T74,Joel Dahmen,84,1.35,320,237
T73,T74,Adam Hadwin,68,1.35,261,194
T73,T74,Phil Mickelson,47,1.35,183,136
T73,T74,Trey Mullinax,69,1.35,246,182
T78,T79,Cameron Champ,60,1.34,251,188
T78,T79,C.T. Pan,70,1.34,250,186
T78,T79,Patrick Reed,61,1.34,215,160
T78,T79,Henrik Stenson,50,1.34,145,108
T82,T83,Ryan Armour,70,1.32,245,186
T82,T83,Hank Lebioda,59,1.32,226,171
T84,T85,Dylan Frittelli,57,1.31,195,149
T84,T85,Brian Stuard,82,1.31,275,210
T86,T87,Byeong Hun An,60,1.30,230,177
T86,T87,Rafa Cabrera Bello,61,1.30,238,183
T86,T87,Roberto DÃ­az,55,1.30,188,145
T86,T87,Billy Horschel,77,1.30,243,187
T86,T87,J.T. Poston,78,1.30,275,212
T86,T87,Brandt Snedeker,76,1.30,274,211
T92,T93,Harris English,79,1.29,270,210
T92,T93,Emiliano Grillo,73,1.29,275,214
T92,T93,Danny Lee,68,1.29,262,203
T92,T93,Shawn Stefani,60,1.29,202,157
T92,T93,Josh Teater,51,1.29,181,140
T97,T98,Sam Burns,70,1.28,260,203
T97,T98,Brian Gay,81,1.28,282,221
T97,T98,Stephan Jaeger,63,1.28,210,164
T97,T98,Hudson Swafford,59,1.28,211,165
T97,T98,Nick Taylor,77,1.28,270,211
T102,T103,Scott Brown,70,1.27,243,192
T102,T103,Kyoung-Hoon Lee,78,1.27,282,222
T104,T105,Sergio Garcia,43,1.26,127,101
T104,T105,Chase Wright,55,1.26,195,155
T106,T107,Pat Perez,52,1.25,188,151
T106,T107,Bubba Watson,53,1.25,175,140
T108,T109,Kiradech Aphibarnrat,53,1.24,185,149
T108,T109,Ernie Els,45,1.24,139,112
T108,T109,Russell Henley,58,1.24,183,147
T108,T109,Beau Hossler,69,1.24,271,218
T108,T109,Chris Kirk,47,1.24,160,129
T108,T109,Luke List,54,1.24,209,169
T108,T109,Kevin Na,56,1.24,186,150
T108,T109,Patrick Rodgers,44,1.24,168,135
T108,T109,Peter Uihlein,67,1.24,242,195
T108,T109,Richy Werenski,67,1.24,242,195
T118,T119,Joaquin Niemann,72,1.23,239,194
T118,T119,Carlos Ortiz,66,1.23,222,181
T118,T119,Cameron Smith,61,1.23,209,170
T121,T122,Kramer Hickok,63,1.22,226,185
T121,T122,Jim Knous,57,1.22,192,158
T121,T122,Scott Stallings,65,1.22,232,190
T121,T122,Robert Streb,64,1.22,205,168
T125,T126,Roberto Castro,56,1.21,180,149
T125,T126,Chesson Hadley,64,1.21,223,185
T125,T126,David Hearn,41,1.21,129,107
T125,T126,Mackenzie Hughes,62,1.21,204,168
T125,T126,Francesco Molinari,49,1.21,140,116
T125,T126,Alex Prugh,62,1.21,204,168
T125,T126,Wes Roach,47,1.21,153,126
T125,T126,Ollie Schniederjans,67,1.21,242,200
T133,T134,Ryan Blaum,71,1.20,247,205
T133,T134,Ben Crane,41,1.20,142,118
T133,T134,Brice Garnett,65,1.20,230,191
T133,T134,Tyrrell Hatton,50,1.20,175,146
T133,T134,J.B. Holmes,58,1.20,192,160
T133,T134,Max Homa,63,1.20,216,180
T133,T134,Hunter Mahan,47,1.20,167,139
T140,T141,Anders Albertson,50,1.19,166,139
T140,T141,Daniel Berger,54,1.19,190,160
T140,T141,Austin Cook,52,1.19,188,158
T140,T141,Andrew Landry,60,1.19,196,165
T140,T141,Ben Silverman,56,1.19,195,164
T140,T141,Brendan Steele,54,1.19,187,157
T140,T141,Adam Svensson,53,1.19,188,158
T147,T148,JuliÃ¡n Etulain,59,1.18,195,165
T147,T148,Sepp Straka,54,1.18,200,169
T149,T150,Brandon Harkins,71,1.17,272,233
T149,T150,Curtis Luck,53,1.17,180,154
T149,T150,JosÃ© de JesÃºs RodrÃ­guez,53,1.17,195,166
T149,T150,Danny Willett,51,1.17,184,157
153,154,Charley Hoffman,60,1.16,205,176
T154,T155,Patton Kizzire,62,1.15,217,188
T154,T155,Scott Langley,64,1.15,218,189
156,T157,Roger Sloan,64,1.14,243,214
T157,T159,Jason Dufner,60,1.13,213,188
T157,T159,Tyler Duncan,70,1.13,238,211
T157,T159,FabiÃ¡n GÃ³mez,46,1.13,156,138
T157,T159,Zach Johnson,54,1.13,181,160
T161,T164,Sangmoon Bae,46,1.12,163,145
T161,T164,Bronson Burgoon,41,1.12,147,131
T161,T164,John Chin,40,1.12,143,128
T161,T164,Tom Hoge,77,1.12,249,223
T161,T164,Haotong Li,36,1.12,121,108
T161,T164,Seth Reeves,56,1.12,202,180
T161,T164,Sam Saunders,59,1.12,201,180
