RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
1,1,Ricky Barnes,65,21.10,50,237
2,2,Dustin Johnson,77,18.90,55,291
3,3,Marc Leishman,93,18.47,65,352
4,4,Phil Mickelson,90,17.97,62,345
5,5,Adam Scott,78,17.89,56,313
6,6,Chesson Hadley,103,17.88,71,397
7,7,Martin Flores,92,17.82,62,348
8,8,Conrad Shindler,60,17.78,40,225
9,9,Emiliano Grillo,94,17.76,65,366
10,10,John Huh,94,17.68,64,362
11,11,Jon Rahm,71,17.37,45,259
12,12,Vaughn Taylor,83,17.35,55,317
13,13,Brett Stegmaier,67,17.14,42,245
14,14,Rafa Cabrera Bello,75,16.97,47,277
15,15,Talor Gooch,78,16.84,49,291
T16,T16,Austin Cook,107,16.71,71,425
T16,T16,Brandon Harkins,101,16.71,64,383
T16,T16,Andrew Putnam,97,16.71,60,359
19,19,Sam Saunders,80,16.61,50,301
20,20,J.T. Poston,73,16.49,47,285
T21,T21,Brian Gay,103,16.46,67,407
T21,T21,J.J. Spaun,85,16.46,52,316
T21,T21,Justin Thomas,91,16.46,53,322
24,24,Shane Lowry,64,16.30,37,227
25,25,Andrew Yun,51,16.02,29,181
26,26,Patton Kizzire,92,16.00,56,350
27,27,Hideki Matsuyama,75,15.96,45,282
28,28,Zac Blair,64,15.88,37,233
29,29,Jason Kokrak,99,15.79,63,399
30,30,Louis Oosthuizen,62,15.74,34,216
31,31,Jordan Spieth,81,15.72,47,299
32,32,Grayson Murray,72,15.68,45,287
33,33,Bronson Burgoon,69,15.64,43,275
34,34,Rickie Fowler,74,15.63,45,288
35,35,Billy Horschel,86,15.60,51,327
36,36,Russell Henley,77,15.46,45,291
T37,T37,Bud Cauley,55,15.42,33,214
T37,T37,Beau Hossler,104,15.42,64,415
39,39,"Ted Potter, Jr.",87,15.38,54,351
40,40,Chez Reavie,93,15.36,53,345
41,41,Nate Lashley,51,15.34,29,189
42,42,Keegan Bradley,98,15.32,57,372
T43,T43,Alex Cejka,77,15.30,43,281
T43,T43,Trey Mullinax,75,15.30,43,281
45,45,Kevin Na,91,15.25,52,341
46,46,C.T. Pan,104,15.23,60,394
47,47,Ryan Armour,109,15.22,65,427
48,48,Sam Ryder,82,15.08,49,325
T49,T49,Bryson DeChambeau,93,15.03,55,366
T49,T49,Danny Lee,88,15.03,52,346
51,51,Pat Perez,82,15.02,44,293
T52,T52,Tommy Fleetwood,73,15.00,39,260
T52,T52,Brooks Koepka,64,15.00,36,240
54,54,Peter Malnati,87,14.93,50,335
T55,T55,Jonathan Byrd,70,14.86,37,249
T55,T55,Derek Fathauer,84,14.86,48,323
57,57,Ryan Blaum,81,14.83,47,317
58,58,Shawn Stefani,76,14.81,44,297
T59,T59,Jim Furyk,50,14.80,29,196
T59,T59,Brandt Snedeker,84,14.80,49,331
61,61,Martin Piller,79,14.79,46,311
62,62,Blayne Barber,69,14.71,40,272
T63,T63,Corey Conners,97,14.59,55,377
T63,T63,Tyrone Van Aswegen,101,14.59,55,377
65,65,David Hearn,66,14.52,35,241
66,66,Jason Day,75,14.50,39,269
67,67,Anirban Lahiri,82,14.42,47,326
68,68,Sung Kang,89,14.41,49,340
69,69,Justin Rose,70,14.39,38,264
70,70,Nicholas Lindheim,77,14.34,40,279
T71,T71,Harris English,84,14.33,45,314
