RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
1,1,Justin Thomas,91,6,918,3
2,2,Dustin Johnson,77,5,817,4
T3,T3,Alex Cejka,77,4,746,2
T3,T3,Chesson Hadley,103,4,"1,074",3
T3,T3,Luke List,98,4,"1,034",2
T3,T3,Troy Merritt,89,4,915,4
T3,T3,"Ted Potter, Jr.",87,4,955,2
T8,T8,Kiradech Aphibarnrat,51,3,516,1
T8,T8,Keegan Bradley,98,3,"1,015",2
T8,T8,Wesley Bryan,69,3,732,3
T8,T8,Rafa Cabrera Bello,75,3,775,1
T8,T8,Derek Fathauer,84,3,871,2
T8,T8,John Huh,94,3,980,2
T8,T8,Patton Kizzire,92,3,994,2
T8,T8,Andrew Landry,82,3,884,3
T8,T8,Jamie Lovemark,92,3,946,2
T8,T8,Hideki Matsuyama,75,3,794,2
T8,T8,Chez Reavie,93,3,931,
T8,T8,Webb Simpson,95,3,"1,036",1
T20,T20,Matt Atkins,56,2,553,1
T20,T20,Ryan Blaum,81,2,855,2
T20,T20,Bronson Burgoon,69,2,757,1
T20,T20,Ben Crane,65,2,635,2
T20,T20,Joel Dahmen,93,2,927,2
T20,T20,Bryson DeChambeau,93,2,"1,028",2
T20,T20,Tyler Duncan,97,2,"1,020",2
T20,T20,Brian Gay,103,2,"1,111",2
T20,T20,James Hahn,85,2,883,2
T20,T20,J.B. Holmes,77,2,803,2
T20,T20,Russell Knox,94,2,983,2
T20,T20,Danny Lee,88,2,923,1
T20,T20,Peter Malnati,87,2,901,1
T20,T20,Denny McCarthy,71,2,687,
T20,T20,Grayson Murray,72,2,753,1
T20,T20,Andrew Putnam,97,2,967,1
T20,T20,Patrick Rodgers,97,2,"1,001",
T20,T20,Rory Sabbatini,91,2,960,2
T20,T20,Adam Schenk,86,2,861,1
T20,T20,Brandt Snedeker,84,2,905,2
T20,T20,Jordan Spieth,81,2,847,
T20,T20,Scott Stallings,96,2,977,
T20,T20,Kevin Streelman,94,2,987,
T20,T20,Ethan Tracy,72,2,731,2
T20,T20,Kevin Tway,110,2,"1,120",2
T20,T20,Johnson Wagner,75,2,739,1
T20,T20,Jimmy Walker,81,2,835,2
T20,T20,Nick Watney,94,2,971,2
T48,T48,Byeong Hun An,86,1,930,1
T48,T48,Aaron Baddeley,84,1,843,1
T48,T48,Blayne Barber,69,1,740,1
T48,T48,Ricky Barnes,65,1,628,1
T48,T48,Daniel Berger,81,1,848,1
T48,T48,Zac Blair,64,1,621,1
T48,T48,Jonas Blixt,67,1,663,1
T48,T48,Scott Brown,102,1,"1,063",1
T48,T48,Jonathan Byrd,70,1,671,1
T48,T48,Patrick Cantlay,87,1,891,
T48,T48,Paul Casey,74,1,781,
T48,T48,Kevin Chappell,77,1,817,
T48,T48,Stewart Cink,87,1,955,
T48,T48,Corey Conners,97,1,"1,013",1
T48,T48,Jason Dufner,71,1,708,1
T48,T48,Matt Every,79,1,800,1
T48,T48,Tony Finau,105,1,"1,076",1
T48,T48,Tommy Fleetwood,73,1,738,1
T48,T48,Martin Flores,92,1,931,1
T48,T48,Brice Garnett,99,1,"1,027",1
T48,T48,Robert Garrigus,80,1,809,
T48,T48,Lucas Glover,65,1,630,
T48,T48,FabiÃ¡n GÃ³mez,88,1,910,1
T48,T48,Talor Gooch,78,1,778,1
T48,T48,Cody Gribble,71,1,697,1
T48,T48,Adam Hadwin,92,1,966,
T48,T48,Brian Harman,94,1,"1,008",1
T48,T48,Tyrrell Hatton,58,1,606,1
T48,T48,Charley Hoffman,87,1,875,
T48,T48,Beau Hossler,104,1,"1,129",1
T48,T48,Charles Howell III,104,1,"1,090",
T48,T48,Billy Hurley III,70,1,696,1
T48,T48,Zach Johnson,94,1,958,1
T48,T48,Matt Jones,70,1,679,
T48,T48,Chris Kirk,108,1,"1,139",1
T48,T48,Kevin Kisner,89,1,875,1
T48,T48,Satoshi Kodaira,51,1,546,
T48,T48,Jason Kokrak,99,1,"1,077",
T48,T48,Anirban Lahiri,82,1,906,
T48,T48,Martin Laird,73,1,698,1
T48,T48,Nate Lashley,51,1,505,
T48,T48,Marc Leishman,93,1,"1,000",
T48,T48,David Lingmerth,82,1,840,1
T48,T48,Shane Lowry,64,1,603,1
T48,T48,Hunter Mahan,67,1,663,1
T48,T48,Ben Martin,64,1,689,1
T48,T48,Graeme McDowell,67,1,629,
T48,T48,William McGirt,84,1,849,1
T48,T48,Rory McIlroy,64,1,683,1
T48,T48,Keith Mitchell,99,1,"1,059",
T48,T48,Trey Mullinax,75,1,751,1
T48,T48,Kevin Na,91,1,951,
T48,T48,Sean O'Hair,67,1,663,1
T48,T48,Ryan Palmer,69,1,687,
T48,T48,Rod Pampling,62,1,605,
T48,T48,C.T. Pan,104,1,"1,079",1
T48,T48,Scott Piercy,84,1,878,1
T48,T48,Martin Piller,79,1,827,1
T48,T48,D.A. Points,63,1,657,1
T48,T48,Jon Rahm,71,1,727,1
T48,T48,Jonathan Randolph,71,1,708,1
T48,T48,Justin Rose,70,1,718,1
T48,T48,Sam Saunders,80,1,811,1
T48,T48,Xander Schauffele,96,1,"1,036",1
T48,T48,Ollie Schniederjans,91,1,950,1
T48,T48,Adam Scott,78,1,850,
T48,T48,Conrad Shindler,60,1,611,
T48,T48,Kyle Stanley,93,1,974,
T48,T48,Brendan Steele,74,1,738,
T48,T48,Shawn Stefani,76,1,797,
T48,T48,Brett Stegmaier,67,1,657,1
T48,T48,Chris Stroud,81,1,795,1
T48,T48,Brian Stuard,103,1,"1,048",1
T48,T48,Hudson Swafford,73,1,720,1
T48,T48,Cameron Tringale,67,1,677,1
T48,T48,Tyrone Van Aswegen,101,1,"1,004",
T48,T48,Harold Varner III,91,1,964,
T48,T48,Richy Werenski,98,1,997,1
T48,T48,Aaron Wise,90,1,959,1
T48,T48,Xinjun Zhang,81,1,813,1
